[2024-12-23T05:38:17.229+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-23T05:38:17.253+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.266+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_and_insert_news.fetch_and_insert_news_all_countries manual__2024-12-23T05:38:15.253727+00:00 [queued]>
[2024-12-23T05:38:17.268+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 2
[2024-12-23T05:38:17.290+0000] {taskinstance.py:2889} INFO - Executing <Task(PythonOperator): fetch_and_insert_news_all_countries> on 2024-12-23 05:38:15.253727+00:00
[2024-12-23T05:38:17.299+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=50134) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-23T05:40:40.008+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-15 to 2023-02-16 for RS...
[2024-12-23T05:40:43.264+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:40:48.265+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-16 to 2023-02-17 for RS...
[2024-12-23T05:40:51.313+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:40:56.312+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-17 to 2023-02-18 for RS...
[2024-12-23T05:41:00.478+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:05.479+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-18 to 2023-02-19 for RS...
[2024-12-23T05:41:08.885+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:13.887+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-19 to 2023-02-20 for RS...
[2024-12-23T05:41:16.604+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:21.606+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-20 to 2023-02-21 for RS...
[2024-12-23T05:41:26.573+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:31.574+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-21 to 2023-02-22 for RS...
[2024-12-23T05:41:34.698+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:39.699+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-22 to 2023-02-23 for RS...
[2024-12-23T05:41:42.450+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:47.451+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-23 to 2023-02-24 for RS...
[2024-12-23T05:41:50.192+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:41:55.192+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-24 to 2023-02-25 for RS...
[2024-12-23T05:41:58.154+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:03.156+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-25 to 2023-02-26 for RS...
[2024-12-23T05:42:06.815+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:11.817+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-26 to 2023-02-27 for RS...
[2024-12-23T05:42:14.785+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:19.787+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-27 to 2023-02-28 for RS...
[2024-12-23T05:42:23.163+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:28.163+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-02-28 to 2023-03-01 for RS...
[2024-12-23T05:42:31.160+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:36.161+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-01 to 2023-03-02 for RS...
[2024-12-23T05:42:39.428+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:44.429+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-02 to 2023-03-03 for RS...
[2024-12-23T05:42:47.249+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:42:52.250+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-03 to 2023-03-04 for RS...
[2024-12-23T05:42:56.565+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:01.566+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-04 to 2023-03-05 for RS...
[2024-12-23T05:43:05.572+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:10.573+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-05 to 2023-03-06 for RS...
[2024-12-23T05:43:13.372+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:18.374+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-06 to 2023-03-07 for RS...
[2024-12-23T05:43:21.174+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:26.173+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-07 to 2023-03-08 for RS...
[2024-12-23T05:43:29.806+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:34.807+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-08 to 2023-03-09 for RS...
[2024-12-23T05:43:37.852+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:42.853+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-09 to 2023-03-10 for RS...
[2024-12-23T05:43:46.237+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:51.239+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-10 to 2023-03-11 for RS...
[2024-12-23T05:43:53.852+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:43:58.852+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-11 to 2023-03-12 for RS...
[2024-12-23T05:44:01.884+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:44:06.886+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-12 to 2023-03-13 for RS...
[2024-12-23T05:44:10.593+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:44:15.594+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-13 to 2023-03-14 for RS...
[2024-12-23T05:44:22.422+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:44:27.421+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-14 to 2023-03-15 for RS...
[2024-12-23T05:44:33.490+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:44:38.492+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-15 to 2023-03-16 for RS...
[2024-12-23T05:44:42.903+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:44:47.904+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-16 to 2023-03-17 for RS...
[2024-12-23T05:44:50.917+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
[2024-12-23T05:44:55.917+0000] {logging_mixin.py:190} INFO - Fetching news from 2023-03-17 to 2023-03-18 for RS...
[2024-12-23T05:44:59.649+0000] {logging_mixin.py:190} INFO - Inserted 250 articles into Snowflake table for RS.
